LON,LAT,ANNUAL
-68.746,-11.011,4620
-68.744,-11.029,4620
-69.566,-10.939,4615
-68.497,-1.065,4607
-67.677,-10.575,4542
-6.719,-10.326,4523
-67.737,-10.150,4558
-67.053,-10.076,4515
-67.825,-9.976,4560
-67.952,-983,4567
-67.541,-9.594,4547
-70.491,-9.447,4591
-71.948,-9.197,4640
-68.672,-9.064,4539
-72.800,-8.939,4705
-69.268,-8.833,4555
-72.754,-8.264,4731
-70.773,-8.157,4602
-70.354,-8.164,4557
-72.651,-7.734,4680
-72.900,-762,4703
-72.676,-763,4663
-36.434,-10.406,5441
-36.582,-10.288,5338
-36.303,-10.294,5439
-36.838,-10.185,5434
-36.902,-10.122,5399
-36.813,-10.057,5321
-36.657,-10.128,5265
-3.617,-10.128,5462
-37.003,-9.963,5463
-36.793,-9.956,5252
-36.015,-10.014,5455
-36.832,-9.885,5290
-3.668,-9.899,5246
-36.550,-9.932,5258
-36.481,-9.907,5237
-3.636,-9.909,5230
-37.277,-9.823,5374
-36.740,-9.829,5316
-36.662,-9.755,5288
-36.353,-9.785,5238
-36.097,-9.783,5319
-3.591,-9.839,5398
-35.979,-9.836,5398
-37.441,-9.742,5447
-37.339,-9.673,5341
-37.128,-9.674,5309
-37.002,-9.659,5269
-36.503,-9.741,5290
-36.308,-9.685,5234
-3.590,-9.710,5451
-35.702,-9.661,5523
-37.760,-9.609,5469
-37.383,-9.558,5405
-37.208,-9.636,5360
-37.251,-960,5360
-36.585,-9.634,5339
-36.491,-9.571,5247
-36.493,-9.646,5247
-36.305,-958,5233
-36.213,-9.644,5147
-35.955,-9.602,5307
-3.582,-9.570,5360
-35.824,-9.604,5360
-35.800,-9.638,5360
-3.783,-9.504,5484
-37.458,-9.470,5423
-37.376,-9.484,5434
-37.296,-9.534,5415
-37.191,-9.518,5384
-36.987,-9.534,5361
-36.638,-9.538,5364
-36.433,-9.535,5285
-36.292,-9.474,5143
-36.009,-9.512,5212
-35.840,-9.478,5243
-35.552,-9.464,5546
-3.800,-9.386,5467
-37.248,-9.370,5462
-37.090,-9.387,5415
-36.991,-9.402,5381
-36.632,-9.411,5384
-36.388,-9.448,5234
-36.376,-9.371,5234
-36.242,-9.372,5193
-36.156,-9.400,5109
-36.083,-9.416,5153
-35.840,-9.394,5219
-35.510,-9.403,5434
-37.999,-9.257,5524
-37.938,-9.262,5471
-37.285,-9.305,5455
-3.687,-9.308,5405
-36.470,-9.320,5273
-36.299,-926,5174
-35.943,-9.307,5188
-35.714,-9.273,5113
-35.561,-9.319,5330
-35.377,-9.265,5595
